nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair
47,011.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_011.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_011.tif,142,538,23,138,536,25,1
47,011.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_011.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_011.tif,116,545,21,113,541,23,2
48,011.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_011.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_011.tif,106,866,20,108,862,22,1
48,011.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_011.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_011.tif,116,762,19,117,757,21,2
49,012.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_012.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_012.tif,113,533,26,111,529,27,1
49,012.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_012.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_012.tif,130,516,20,124,517,21,2
51,013.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_013.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_013.tif,204,147,20,209,151,21,1
51,013.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_013.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_013.tif,99,141,23,94,142,25,2
57,015.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_015.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_015.tif,315,183,23,319,184,21,1
57,015.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_015.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_015.tif,205,237,22,206,242,24,2
76,021.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_021.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_021.tif,199,327,27,199,329,26,1
76,021.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_021.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_021.tif,202,307,27,203,302,25,2
79,021.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_021.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_021.tif,455,791,24,453,787,22,1
79,021.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_021.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_021.tif,471,773,24,471,772,21,2
82,023.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_023.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_023.tif,969,153,23,965,155,25,1
82,023.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_023.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_023.tif,958,217,25,953,216,23,2
83,023.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_023.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_023.tif,375,236,25,377,235,27,1
83,023.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_023.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_023.tif,418,181,27,421,177,25,2
84,023.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_023.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_023.tif,565,310,24,561,313,26,1
84,023.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_023.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_023.tif,557,202,20,562,202,22,2
85,023.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_023.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_023.tif,242,306,23,245,309,25,1
85,023.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_023.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_023.tif,183,363,27,188,359,27,2
87,023.NM,6,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_023.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_023.tif,64,603,28,67,605,26,1
