nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair,Distance
75,025.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_025.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_025.tif,227,300,25,227,295,23,2,5.3851648071345
76,025.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_025.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_025.tif,737,593,24,736,590,22,1,3.74165738677394
76,025.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_025.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_025.tif,698,578,21,694,573,20,2,6.48074069840786
77,026.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_026.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_026.tif,235,351,23,237,348,21,1,4.12310562561766
77,026.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_026.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_026.tif,328,355,28,329,350,26,2,5.47722557505166
78,027.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_027.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_027.tif,681,191,20,679,190,21,1,2.44948974278318
78,027.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_027.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_027.tif,611,164,21,608,161,19,2,4.69041575982343
80,028.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_028.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_028.tif,119,450,27,118,455,28,1,5.19615242270663
80,028.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_028.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_028.tif,157,460,25,153,457,27,2,5.3851648071345
83,028.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_028.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_028.tif,161,849,31,165,844,32,1,6.48074069840786
83,028.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_028.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_028.tif,198,854,23,193,853,25,2,5.47722557505166
84,029.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_029.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_029.tif,407,455,21,405,459,23,1,4.89897948556636
84,029.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_029.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_029.tif,394,398,29,400,400,28,2,6.40312423743285
102,037.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_037.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_037.tif,421,73,21,419,76,23,1,4.12310562561766
102,037.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_037.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_037.tif,390,112,26,385,113,24,2,5.47722557505166
103,037.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_037.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_037.tif,822,195,21,826,198,22,1,5.09901951359278
103,037.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_037.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_037.tif,827,278,20,827,272,21,2,6.08276253029822
105,038.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_038.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_038.tif,568,287,21,565,286,23,1,3.74165738677394
105,038.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_038.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_038.tif,571,267,23,576,268,24,2,5.19615242270663
106,038.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_038.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_038.tif,390,764,18,394,762,20,1,4.89897948556636
106,038.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_038.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_038.tif,442,817,23,440,821,21,2,4.89897948556636
108,040.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_041.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_041.tif,128,399,21,132,402,21,1,5
108,040.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_041.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_041.tif,70,395,26,75,396,27,2,5.19615242270663
109,040.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_041.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_041.tif,868,682,20,865,678,20,1,5
109,040.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_041.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_041.tif,809,749,22,805,744,23,2,6.48074069840786
112,041.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_042.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_042.tif,67,549,23,68,553,25,1,4.58257569495584
112,041.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_042.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_042.tif,101,627,22,96,623,23,2,6.48074069840786
113,041.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_042.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_042.tif,308,906,23,305,910,24,1,5.09901951359278
113,041.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_042.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_042.tif,406,867,30,405,873,29,2,6.16441400296898
114,042.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_043.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_043.tif,851,536,32,847,536,34,1,4.47213595499958
114,042.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_043.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_043.tif,877,527,34,872,527,32,2,5.3851648071345
115,042.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_043.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_043.tif,686,504,21,685,500,20,1,4.24264068711929
115,042.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_043.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_043.tif,684,550,23,680,545,24,2,6.48074069840786
116,042.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_043.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_043.tif,669,666,33,668,660,33,1,6.08276253029822
116,042.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_043.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_043.tif,668,664,23,669,670,24,2,6.16441400296898
117,042.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_043.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_043.tif,90,750,23,89,752,21,1,3
117,042.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_043.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_043.tif,71,840,26,67,835,26,2,6.40312423743285
123,047.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_049.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_049.tif,412,109,24,412,108,22,1,2.23606797749979
123,047.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_049.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_049.tif,483,119,25,480,115,23,2,5.3851648071345
124,047.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_049.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_049.tif,918,204,20,913,204,22,1,5.3851648071345
124,047.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_049.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_049.tif,980,208,31,979,213,29,2,5.47722557505166
125,047.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_049.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_049.tif,499,252,22,500,255,21,1,3.3166247903554
