nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair,Distance
37,012.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_012.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_012.tif,711,325,9,716,321,9,2,6.40312423743285
38,012.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_012.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_012.tif,274,437,13,276,438,15,1,3
38,012.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_012.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_012.tif,313,469,16,312,469,19,2,3.16227766016838
40,012.NM,6,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_012.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_012.tif,384,867,18,383,864,16,1,3.74165738677394
40,012.NM,6,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_012.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_012.tif,410,908,19,411,903,17,2,5.47722557505166
41,013.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_013.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_013.tif,763,163,10,763,163,12,1,2
41,013.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_013.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_013.tif,600,149,9,605,150,11,2,5.47722557505166
42,013.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_013.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_013.tif,210,441,14,211,440,13,1,1.73205080756888
42,013.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_013.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_013.tif,168,514,19,163,513,18,2,5.19615242270663
45,014.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_014.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_014.tif,160,527,9,162,523,9,1,4.47213595499958
45,014.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_014.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_014.tif,113,475,11,113,470,10,2,5.09901951359278
47,014.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_014.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_014.tif,511,869,10,515,867,9,1,4.58257569495584
47,014.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_014.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_014.tif,559,802,7,564,805,8,2,5.91607978309962
48,015.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_015.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_015.tif,780,178,11,785,175,12,1,5.91607978309962
48,015.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_015.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_015.tif,769,209,12,769,209,9,2,3
49,015.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_015.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_015.tif,566,250,13,565,252,11,1,3
49,015.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_015.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_015.tif,577,224,12,578,219,10,2,5.47722557505166
51,015.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_015.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_015.tif,540,686,11,543,681,12,1,5.91607978309962
51,015.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_015.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_015.tif,637,711,17,638,711,14,2,3.16227766016838
54,017.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_017.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_017.tif,90,184,8,84,182,9,1,6.40312423743285
54,017.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_017.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_017.tif,120,167,12,124,170,14,2,5.3851648071345
57,018.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_018.tif,414,139,13,411,141,11,1,4.12310562561766
57,018.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_018.tif,422,129,22,421,129,19,2,3.16227766016838
58,018.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_018.tif,873,264,17,879,261,17,1,6.70820393249937
58,018.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_018.tif,799,231,9,805,229,10,2,6.40312423743285
61,018.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_018.tif,252,710,14,256,713,12,1,5.3851648071345
61,018.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_018.tif,274,756,10,274,751,8,2,5.3851648071345
62,018.NM,6,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_018.tif,576,864,9,572,861,9,1,5
62,018.NM,6,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_018.tif,570,898,10,572,901,8,2,4.12310562561766
65,019.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_019.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_019.tif,325,345,8,325,341,6,1,4.47213595499958
65,019.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_019.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_019.tif,319,401,6,324,397,5,2,6.48074069840786
77,024.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_024.tif,540,233,12,543,230,10,1,4.69041575982343
77,024.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_024.tif,564,308,8,558,309,7,2,6.16441400296898
78,024.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_024.tif,335,464,11,337,461,9,1,4.12310562561766
78,024.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_024.tif,395,514,10,401,514,11,2,6.08276253029822
81,025.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_025.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_025.tif,748,621,9,744,623,11,1,4.89897948556636
81,025.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_025.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_025.tif,758,641,8,764,642,9,2,6.16441400296898
82,025.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_025.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_025.tif,449,794,7,447,797,7,1,3.60555127546399
