nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair
116,038.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_038.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_038.tif,695,655,16,701,658,16,1
116,038.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_038.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_038.tif,715,702,30,715,702,27,2
117,038.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_038.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_038.tif,227,803,23,231,801,21,1
117,038.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_038.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_038.tif,233,734,18,233,734,21,2
118,039.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_039.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_039.tif,276,98,21,282,99,20,1
118,039.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_039.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_039.tif,316,150,21,311,150,23,2
119,039.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_039.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_039.tif,116,285,16,120,289,16,1
119,039.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_039.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_039.tif,83,225,16,81,219,17,2
123,040.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_040.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_040.tif,888,99,22,889,100,24,1
123,040.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_040.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_040.tif,833,90,17,838,94,18,2
